 ,Area,Slice,Length
1,12234,1,0
2,12571,2,0
3,15779,3,0
4,12181,4,0
5,12233,5,0
6,12159,6,0
7,12650,7,0
8,12907,8,0
9,12263,9,0
10,11846,10,0
11,13166,11,0
12,11464,12,0
13,11705,13,0
14,13081,14,0
15,12234,1,0
16,12571,2,0
17,15779,3,0
18,12181,4,0
19,12233,5,0
20,12159,6,0
21,12650,7,0
22,12907,8,0
23,12263,9,0
24,11846,10,0
25,13166,11,0
26,11464,12,0
27,11705,13,0
28,13081,14,0
29,359,1,360.565
30,362,2,363.920
31,367,3,368.750
32,333,4,334.488
33,315,5,316.305
34,337,6,338.670
35,347,7,347.735
36,344,8,345.327
37,351,9,352.485
38,345,10,346.508
39,379,11,380.572
40,348,12,349.095
41,342,13,343.260
42,357,14,358.617
