 ,Area,Slice,Length
1,26902,1,0
2,22098,2,0
3,23687,3,0
4,21873,5,0
5,29712,8,0
6,33889,9,0
7,27880,10,0
8,31533,11,0
9,30636,12,0
10,25340,13,0
11,30999,14,0
12,33858,15,0
13,31877,16,0
14,29759,17,0
15,25134,18,0
16,23730,19,0
17,30096,20,0
18,29395,21,0
19,24019,22,0
20,29104,23,0
21,29649,24,0
22,33046,25,0
23,33487,26,0
24,30778,27,0
25,31524,28,0
26,31579,29,0
27,29177,31,0
28,29428,32,0
29,22290,34,0
30,22895,36,0
31,24494,37,0
32,29680,38,0
33,28177,40,0
34,29405,41,0
35,30587,42,0
36,25135,45,0
37,25301,46,0
38,26616,47,0
39,26454,48,0
40,23239,50,0
41,22452,51,0
42,25727,52,0
43,33605,53,0
44,24308,55,0
45,26902,1,0
46,22098,2,0
47,23687,3,0
48,21873,5,0
49,29712,8,0
50,33889,9,0
51,27880,10,0
52,31533,11,0
53,30636,12,0
54,25340,13,0
55,30999,14,0
56,33858,15,0
57,31877,16,0
58,29759,17,0
59,25134,18,0
60,23730,19,0
61,30096,20,0
62,29395,21,0
63,24019,22,0
64,29104,23,0
65,29649,24,0
66,33046,25,0
67,33487,26,0
68,30778,27,0
69,31524,28,0
70,31579,29,0
71,29177,31,0
72,29428,32,0
73,22290,34,0
74,22895,36,0
75,24494,37,0
76,29680,38,0
77,28177,40,0
78,29405,41,0
79,30587,42,0
80,25135,45,0
81,25301,46,0
82,26616,47,0
83,26454,48,0
84,23239,50,0
85,22452,51,0
86,25727,52,0
87,33605,53,0
88,24308,55,0
89,409,1,409.658
90,378,2,380.134
91,454,3,455.723
92,374,5,375.231
93,472,8,474.228
94,498,9,499.897
95,457,10,459.395
96,465,11,466.943
97,462,12,463.649
98,421,13,422.502
99,478,14,480.320
100,544,15,546.801
101,494,16,496.117
102,503,17,505.389
103,496,18,498.606
104,449,19,451.295
105,500,20,502.172
106,503,21,505.872
107,454,22,456.155
108,541,23,543.530
109,559,24,561.621
110,547,25,550.003
111,543,26,544.898
112,586,27,589.415
113,527,28,529.918
114,529,29,531.238
115,534,31,536.160
116,536,32,537.630
117,457,34,458.696
118,532,36,534.700
119,558,37,560.464
120,540,38,542.234
121,566,40,569.072
122,563,41,564.980
123,507,42,509.621
124,576,45,578.254
125,551,46,554.227
126,474,47,476.335
127,751,48,754.788
128,592,50,595.321
129,511,51,513.864
130,578,52,580.147
131,543,53,544.744
132,720,55,723.472
