 ,Area,Slice,Length
1,162,1,0
2,178,2,0
3,196,3,0
4,181,4,0
5,180,5,0
6,204,6,0
7,217,7,0
8,235,8,0
9,232,9,0
10,247,10,0
11,258,11,0
12,258,12,0
13,255,13,0
14,269,14,0
15,162,1,0
16,178,2,0
17,196,3,0
18,181,4,0
19,180,5,0
20,204,6,0
21,217,7,0
22,235,8,0
23,232,9,0
24,247,10,0
25,258,11,0
26,258,12,0
27,255,13,0
28,269,14,0
29,178,1,177.998
30,185,2,185.406
31,209,3,209.715
32,205,4,205.063
33,203,5,203.490
34,230,6,230.361
35,247,7,247.686
36,257,8,257.668
37,254,9,254.494
38,267,10,267.428
39,285,11,285.594
40,293,12,293.999
41,287,13,287.806
42,303,14,303.463
