Mes,drosophila
2004-01,25
2004-02,66
2004-03,60
2004-04,64
2004-05,61
2004-06,62
2004-07,14
2004-08,13
2004-09,49
2004-10,63
2004-11,100
2004-12,64
2005-01,66
2005-02,49
2005-03,85
2005-04,60
2005-05,93
2005-06,36
2005-07,27
2005-08,49
2005-09,60
2005-10,41
2005-11,52
2005-12,44
2006-01,19
2006-02,33
2006-03,48
2006-04,46
2006-05,44
2006-06,59
2006-07,12
2006-08,16
2006-09,18
2006-10,38
2006-11,34
2006-12,36
2007-01,31
2007-02,30
2007-03,36
2007-04,29
2007-05,29
2007-06,27
2007-07,16
2007-08,35
2007-09,35
2007-10,26
2007-11,42
2007-12,37
2008-01,33
2008-02,31
2008-03,37
2008-04,53
2008-05,32
2008-06,18
2008-07,19
2008-08,25
2008-09,25
2008-10,45
2008-11,39
2008-12,32
2009-01,24
2009-02,37
2009-03,37
2009-04,39
2009-05,43
2009-06,21
2009-07,23
2009-08,12
2009-09,28
2009-10,34
2009-11,39
2009-12,47
2010-01,20
2010-02,45
2010-03,44
2010-04,32
2010-05,36
2010-06,29
2010-07,17
2010-08,19
2010-09,24
2010-10,34
2010-11,40
2010-12,30
2011-01,25
2011-02,33
2011-03,42
2011-04,28
2011-05,28
2011-06,21
2011-07,14
2011-08,19
2011-09,27
2011-10,38
2011-11,39
2011-12,28
2012-01,26
2012-02,31
2012-03,30
2012-04,34
2012-05,28
2012-06,22
2012-07,14
2012-08,20
2012-09,27
2012-10,33
2012-11,37
2012-12,23
2013-01,24
2013-02,33
2013-03,30
2013-04,34
2013-05,26
2013-06,17
2013-07,16
2013-08,17
2013-09,27
2013-10,35
2013-11,34
2013-12,20
2014-01,19
2014-02,25
2014-03,29
2014-04,31
2014-05,32
2014-06,19
2014-07,15
2014-08,25
2014-09,29
2014-10,28
2014-11,38
2014-12,20
2015-01,17
2015-02,24
2015-03,27
2015-04,25
2015-05,30
2015-06,33
2015-07,13
2015-08,16
2015-09,24
2015-10,24
2015-11,31
2015-12,20
2016-01,22
2016-02,24
2016-03,27
2016-04,25
2016-05,22
2016-06,14
2016-07,14
2016-08,13
2016-09,20
2016-10,20
2016-11,29
2016-12,18
2017-01,21
2017-02,24
2017-03,25
2017-04,23
2017-05,21
2017-06,14
2017-07,13
2017-08,15
2017-09,23
2017-10,22
2017-11,28
2017-12,17
2018-01,19
2018-02,23
2018-03,21
2018-04,23
2018-05,17
2018-06,14
2018-07,11
2018-08,14
2018-09,23
2018-10,18
2018-11,18
2018-12,14
2019-01,15
2019-02,21
2019-03,24
2019-04,22
2019-05,18
2019-06,12
2019-07,13
2019-08,13
2019-09,18
2019-10,22
2019-11,22
2019-12,15
2020-01,18
2020-02,25
2020-03,17
2020-04,15
2020-05,17
2020-06,13
2020-07,13
2020-08,16
2020-09,20
2020-10,17
2020-11,20
2020-12,16
2021-01,17
2021-02,15
2021-03,18
2021-04,16
2021-05,15
